idx,I/E,S/N,T/F,J/P
1,0.6529495716094971,0.5087618827819824,0.5040355920791626,0.5100952982902527
2,0.7691424489021301,0.17965519428253174,0.7750888466835022,0.5121335983276367
3,0.5692781209945679,0.7676923274993896,0.5501359701156616,0.3185662627220154
4,0.8666985630989075,0.5140823721885681,0.6112494468688965,0.3719083070755005
5,0.8002577424049377,0.6719469428062439,0.6459507346153259,0.7477157711982727
6,0.3410298526287079,0.2735855281352997,0.2747286856174469,0.29433196783065796
7,0.14576774835586548,0.246578648686409,0.7610054016113281,0.7726199626922607
8,0.26844656467437744,0.7857502102851868,0.5178367495536804,0.39376211166381836
9,0.07974196970462799,0.7204207181930542,0.7751219272613525,0.2842342257499695
10,0.39657828211784363,0.3388269543647766,0.5929986834526062,0.5818451642990112
11,0.33175843954086304,0.5045560598373413,0.20693272352218628,0.3469024896621704
12,0.6445974111557007,0.4093577563762665,0.5709112882614136,0.253154993057251
13,0.6105680465698242,0.743147611618042,0.5690562129020691,0.5235469341278076
14,0.41302943229675293,0.6780890822410583,0.6433330774307251,0.5206947326660156
15,0.3750503659248352,0.6100127100944519,0.5685264468193054,0.44151800870895386
16,0.9090675115585327,0.6767963171005249,0.45220524072647095,0.4879191219806671
17,0.7603090405464172,0.785956621170044,0.48701345920562744,0.4464585781097412
18,0.5055181384086609,0.37394461035728455,0.2686549425125122,0.49895694851875305
19,0.7536104917526245,0.7580710649490356,0.3350277543067932,0.40683120489120483
20,0.3167382478713989,0.5695295333862305,0.6356790065765381,0.30639761686325073
21,0.8988068103790283,0.6761481165885925,0.3839406967163086,0.646471381187439
22,0.7927955389022827,0.14490371942520142,0.7351325154304504,0.43460845947265625
23,0.8939442038536072,0.4446859061717987,0.35695382952690125,0.5493455529212952
24,0.8644224405288696,0.3981955647468567,0.5447655916213989,0.4165150225162506
25,0.07252700626850128,0.41639241576194763,0.6064305305480957,0.3309118151664734
26,0.4969145357608795,0.4274636507034302,0.2518845796585083,0.2804291248321533
27,0.4759218394756317,0.6764720678329468,0.5148273706436157,0.6882431507110596
28,0.8097286224365234,0.7509875297546387,0.41435542702674866,0.27706030011177063
29,0.9379015564918518,0.3228312134742737,0.1579022854566574,0.5719082951545715
30,0.12357603013515472,0.8168319463729858,0.6940771341323853,0.46163517236709595
31,0.0467178151011467,0.8561410307884216,0.861034631729126,0.11596783995628357
32,0.9510346055030823,0.4224448502063751,0.1862160712480545,0.5029512643814087
33,0.05555211752653122,0.8853424191474915,0.8579997420310974,0.12260674685239792
34,0.12350836396217346,0.7797899842262268,0.6660870909690857,0.22829881310462952
35,0.2979923188686371,0.48804494738578796,0.36139607429504395,0.36251091957092285
36,0.8714791536331177,0.4850075840950012,0.41148751974105835,0.7105510234832764
37,0.878070056438446,0.4196789860725403,0.42126893997192383,0.6135976910591125
38,0.3207898437976837,0.8086303472518921,0.512503445148468,0.3577083349227905
39,0.059631817042827606,0.7043423652648926,0.6605661511421204,0.2665724754333496
40,0.5717868208885193,0.35170644521713257,0.6132826209068298,0.5391731858253479
41,0.7821725606918335,0.8532348871231079,0.4131294786930084,0.36674612760543823
42,0.6944581866264343,0.6453787088394165,0.5362725853919983,0.4663922190666199
43,0.7313489317893982,0.6410793662071228,0.3125234842300415,0.25352299213409424
44,0.29410892724990845,0.11346308887004852,0.7055554986000061,0.673637866973877
45,0.4523330330848694,0.31141841411590576,0.44573184847831726,0.5425534844398499
46,0.4440933167934418,0.8577855825424194,0.5936302542686462,0.44225895404815674
47,0.18886177241802216,0.36468154191970825,0.7286183834075928,0.7064763307571411
48,0.944246232509613,0.27805107831954956,0.13278719782829285,0.6477956175804138
49,0.5750678777694702,0.1992822289466858,0.6346922516822815,0.7135577201843262
50,0.6433674693107605,0.522949755191803,0.2880678176879883,0.5103431940078735
