idx,I/E,S/N,T/F,J/P
1,0.011931415647268295,0.011723007075488567,0.9960834383964539,0.011388846673071384
2,0.1364402323961258,0.15293343365192413,0.9965845942497253,0.9819244742393494
3,0.970047116279602,0.9853598475456238,0.9986398220062256,0.021834326907992363
4,0.9943763017654419,0.5276032090187073,0.9957365989685059,0.19963258504867554
5,0.0002837484353221953,0.0003685321717057377,0.0012040614383295178,0.9988418221473694
6,0.0001531738816993311,0.0001595448120497167,0.0001560133241582662,0.00013282532745506614
7,0.0171109177172184,0.01734478957951069,0.9981861710548401,0.9831721782684326
8,0.00047061650548130274,0.9995393753051758,0.0007818514131940901,0.9985373616218567
9,0.001919049653224647,0.9915602207183838,0.988222599029541,0.37383800745010376
10,0.009219159372150898,0.0051903803832829,0.3877750337123871,0.33746418356895447
11,0.9840619564056396,0.009180033579468727,0.7174398303031921,0.03678632900118828
12,0.8947743773460388,0.019453328102827072,0.7934768795967102,0.10671611875295639
13,0.11960744857788086,0.1935235559940338,0.07756269723176956,0.7570368647575378
14,0.15574675798416138,0.7558687925338745,0.9946064949035645,0.26747992634773254
15,0.062187451869249344,0.9905456304550171,0.1202806606888771,0.7140067219734192
16,0.9997878670692444,0.9996978640556335,0.9997536540031433,0.00013737427070736885
17,0.9977546334266663,0.9933496117591858,0.9307401180267334,0.9979053735733032
18,0.9979979395866394,0.0019402072066441178,0.0003532918344717473,0.9981229901313782
19,0.9981894493103027,0.16183534264564514,0.0011350141139701009,0.0014312808634713292
20,0.27432119846343994,0.9357290267944336,0.9430832862854004,0.6552870869636536
21,0.7187883257865906,0.980460524559021,0.9926493167877197,0.2857985496520996
22,0.9758836030960083,0.001315646804869175,0.9643961787223816,0.0012723326217383146
23,0.9979358315467834,0.0021354397758841515,0.002612330252304673,0.0030277303885668516
24,0.999871015548706,0.00039477492100559175,0.9992513656616211,0.0009015575051307678
25,0.009813458658754826,0.009929266758263111,0.9997803568840027,0.0003744068380910903
26,0.47410449385643005,0.5450040102005005,0.09037308394908905,0.018459703773260117
27,0.0011178692802786827,0.006404323503375053,0.004553902894258499,0.9965134263038635
28,0.9808074831962585,0.7732810378074646,0.7400979995727539,0.12798716127872467
29,0.9935219287872314,0.14472196996212006,0.005083621479570866,0.8494861721992493
30,0.005551624111831188,0.005946359597146511,0.0073212431743741035,0.9940859079360962
31,8.965279994299635e-05,0.9998186826705933,0.9998876452445984,0.00015898581477813423
32,0.9984793066978455,0.9030913710594177,0.0017488779267296195,0.010633137077093124
33,0.00027984444750472903,0.9998087286949158,0.9996669292449951,0.00019509826961439103
34,0.005380012094974518,0.5428236722946167,0.9975447654724121,0.0008044865680858493
35,0.7570971250534058,0.25777143239974976,0.16504676640033722,0.7997834086418152
36,0.9988774657249451,0.9925333857536316,0.9926507472991943,0.9955081343650818
37,0.9978987574577332,0.9685841202735901,0.9733744263648987,0.9964005947113037
38,0.0009300968376919627,0.9991075992584229,0.004189826548099518,0.002391653833910823
39,0.5617802143096924,0.9576761722564697,0.9634416103363037,0.008418778888881207
40,0.9935349225997925,0.1612178385257721,0.5698304772377014,0.5658022165298462
41,0.9935946464538574,0.9978122115135193,0.00696098618209362,0.3090091645717621
42,0.3893490731716156,0.015343420207500458,0.9686012268066406,0.969312846660614
43,0.9997661709785461,0.9998560547828674,0.0003687470161821693,0.00013536222104448825
44,0.7741368412971497,0.1069997102022171,0.9779278039932251,0.2047497183084488
45,0.0006849480560049415,0.0023819212801754475,0.0009586050873622298,0.03084430657327175
46,0.9965659976005554,0.999081015586853,0.00950572919100523,0.001135843456722796
47,0.00048269808758050203,0.0004356229619588703,0.9997740387916565,0.9993588924407959
48,0.9969223141670227,0.3072483539581299,0.005897819995880127,0.6703996062278748
49,0.4336712658405304,0.42757800221443176,0.4483638107776642,0.5755606293678284
50,0.340442419052124,0.6938837766647339,0.3557865023612976,0.94515061378479
51,0.999825656414032,0.9997641444206238,0.00032944988925009966,0.9998584389686584
52,0.9979974031448364,0.9696139097213745,0.5792362689971924,0.4517877399921417
53,0.952629804611206,0.9929202795028687,0.12661705911159515,0.011528446339070797
54,9.677436901256442e-05,0.0001554962946102023,0.0001592546032043174,0.9999268651008606
55,0.9151034355163574,0.15972831845283508,0.9061551690101624,0.8868907690048218
56,0.002818058244884014,0.006935757119208574,0.9854916930198669,0.9982279539108276
57,0.9995036125183105,0.003541001118719578,0.00041791051626205444,0.9968912601470947
58,0.11855646967887878,0.6074054837226868,0.885149359703064,0.1504334956407547
59,0.9996813535690308,0.0004990125307813287,0.000295007397653535,0.0006445631152018905
60,6.685392872896045e-05,0.999584436416626,0.9999226927757263,0.0001052824518410489
61,0.9340066313743591,0.6031473278999329,0.29075852036476135,0.8363385796546936
62,0.00011445632117101923,0.0001271546643693,0.9998348951339722,0.9998710751533508
63,0.5628336668014526,0.035780202597379684,0.9353905916213989,0.1655760556459427
64,0.9948953986167908,0.0014867144636809826,0.9949713349342346,0.992867648601532
65,0.9194319248199463,0.7750170230865479,0.28844112157821655,0.7621275782585144
66,0.9982324242591858,0.9995062351226807,0.9975263476371765,0.0015304667176678777
67,0.9948716163635254,0.9991368055343628,0.9995402097702026,0.005229568108916283
68,0.9954137206077576,0.6740179061889648,0.48961618542671204,0.83570396900177
69,0.9989214539527893,0.9817442893981934,0.9803949594497681,0.9915832877159119
70,0.027344882488250732,0.05881122499704361,0.2288973480463028,0.7687783241271973
71,0.9999526739120483,0.9999125003814697,0.00010988390567945316,0.999917209148407
72,0.9995224475860596,0.9997129440307617,0.9994998574256897,0.9996264576911926
73,0.0003183850203640759,0.0004650210030376911,0.0002558412088546902,0.9995906352996826
74,0.6392433643341064,0.368741899728775,0.3756479322910309,0.5010372400283813
75,0.032913994044065475,0.9658050537109375,0.030398894101381302,0.028287841007113457
