idx,I/E,S/N,T/F,J/P
1,0.03131909295916557,0.010541517287492752,0.9650611877441406,0.00712560024112463
2,0.8706492185592651,0.5102543234825134,0.95595782995224,0.621045708656311
3,0.07344914972782135,0.8909796476364136,0.9335542917251587,0.1621423363685608
4,0.9726511836051941,0.1819971352815628,0.8205583691596985,0.19030450284481049
5,0.5616217851638794,0.5579724907875061,0.5471528172492981,0.9055954813957214
6,0.007891769520938396,0.006164604797959328,0.008849691599607468,0.009007729589939117
7,0.020702088251709938,0.11085021495819092,0.946521520614624,0.9718388915061951
8,0.018654467537999153,0.7069353461265564,0.3578464686870575,0.6316171884536743
9,0.04173189029097557,0.9888761043548584,0.9640105962753296,0.8442943096160889
10,0.024126168340444565,0.032441169023513794,0.2795603573322296,0.2744835317134857
11,0.7096728086471558,0.14966604113578796,0.23370851576328278,0.7147085666656494
12,0.11950213462114334,0.2713904082775116,0.25551900267601013,0.07801569998264313
13,0.1631036400794983,0.37570831179618835,0.8116602897644043,0.8450173139572144
14,0.5464559197425842,0.8870247602462769,0.7822085618972778,0.4005293846130371
15,0.6281481981277466,0.4108859896659851,0.2134627103805542,0.2375580370426178
16,0.9868714213371277,0.9053260684013367,0.8772196769714355,0.03249745070934296
17,0.9695132970809937,0.639359712600708,0.45410752296447754,0.5155836939811707
18,0.9721060991287231,0.015631139278411865,0.012263626791536808,0.9696909189224243
19,0.8026530742645264,0.7124853134155273,0.33742693066596985,0.13844889402389526
20,0.20373472571372986,0.3392043113708496,0.7330943942070007,0.30171504616737366
21,0.575782835483551,0.44068270921707153,0.6483809947967529,0.952126145362854
22,0.9604354500770569,0.031227800995111465,0.7313026189804077,0.0192556232213974
23,0.9482117295265198,0.5065057277679443,0.037572115659713745,0.6311222314834595
24,0.9800338745117188,0.00939114298671484,0.9872387647628784,0.009943322278559208
25,0.006213625427335501,0.010197675786912441,0.9906403422355652,0.008417272940278053
26,0.8059676885604858,0.13540178537368774,0.05269039794802666,0.021773306652903557
27,0.13468262553215027,0.15524783730506897,0.14927208423614502,0.9310234785079956
28,0.9022881388664246,0.4746796190738678,0.2387591451406479,0.0859975665807724
29,0.9612804651260376,0.574228048324585,0.08065308630466461,0.2966167628765106
30,0.0941057950258255,0.8056987524032593,0.924105703830719,0.10357026755809784
31,0.004362510051578283,0.9963852763175964,0.9958805441856384,0.006779889576137066
32,0.9954717755317688,0.6721299886703491,0.012033284641802311,0.31938955187797546
33,0.0022877322044223547,0.9965152144432068,0.997075617313385,0.003973569720983505
34,0.09436283260583878,0.016636373475193977,0.9699931144714355,0.09384912997484207
35,0.597050666809082,0.4144418239593506,0.4449371099472046,0.4924141466617584
36,0.979219913482666,0.37922534346580505,0.3650389015674591,0.9594627618789673
37,0.9089459776878357,0.020176725462079048,0.41891956329345703,0.38398873805999756
38,0.09453943371772766,0.8548067212104797,0.07782735675573349,0.014126645401120186
39,0.0602630153298378,0.6248658299446106,0.45001301169395447,0.4868474304676056
40,0.890022873878479,0.7922576069831848,0.3316272497177124,0.4976121187210083
41,0.860302209854126,0.18678653240203857,0.8472471833229065,0.12413693219423294
42,0.049436647444963455,0.04982476681470871,0.10596033930778503,0.12392129004001617
43,0.9825589656829834,0.9760509133338928,0.018584096804261208,0.00933559238910675
44,0.33992552757263184,0.036380067467689514,0.8882671594619751,0.3057568371295929
