Data_ID,User_ID,Gender,Age,MBTI,Q_number,Answer
1,1,1,30,INFP,1,"<no>  I was bullied as a child and I don't like going out, so I only have a few friends."
2,1,1,30,INFP,2,"<neutrality>  I don't explore a wide range of interests, but I mostly like things related to nature and history, and I'm a bit interested in birds these days. Even if there is interest, interest did not last long, so I made it neutral."
3,1,1,30,INFP,3,"<Yes>  Because he empathizes well, he cries even when people are crying in a comedy movie, so he doesn't go to the movie theater often. I don't want to cry in my head, but there are many times when I'm embarrassed because I'm already crying."
4,1,1,30,INFP,4,"<neutrality>  make preparations, but I tend to end up building them. This is because work variables can arise, and if there are no countermeasures in place when variables arise, it is difficult to cope with them because your mind becomes blank. However, thinking about too many variables is annoying, so I stop making preparations in the middle."
5,1,1,30,INFP,5,"<no>  I am unable to maintain my composure. My mind is blank and I can't speak properly. When I was interviewing, even though it was a video interview, I felt more pressure on myself, so I couldn't speak much more than when I practiced."
6,1,1,30,INFP,6,"<Yes>  I rarely go to parties or events, and assuming I do, I tend to talk to people I know. The reason is that it's burdensome to introduce yourself to people you don't know."
7,1,1,30,INFP,7,"<no>  work by starting various projects little by little and finishing the projects that are progressing well first. When I was in school, if there were several tasks, I would do one, then move on to another when my concentration dropped or there was a blockage."
8,1,1,30,INFP,8,"<Yes>  It's very sentimental. When I read books, dramas, or other media, I get very sad and depressed when something hurts or hurts."
9,1,1,30,INFP,9,"<neutrality>  I don't like to plan, but I plan my travels in detail by the hour. Since I don't go out much, I don't want to miss out on what the destination has to offer, and I want to spend it more fully. I buy a diary, but I tend to repeat what I don't use."
10,1,1,30,INFP,10,"<neutrality> Sometimes I look at the shelf in my family store, but there are times when I make a calculation mistake. It may be at times like that, but even though I repeat it, the mistake doesn't leave my head."
11,1,1,30,INFP,11,"<no>  It is difficult. When I talk to someone I want to get close to, I simulate how to talk to them and talk to them."
12,1,1,30,INFP,12,"<no>  I love seeing discussions about different interpretations, but I hate it because it's annoying and I'm not good at talking."
13,1,1,30,INFP,13,<neutrality>  Sometimes I follow my emotions and sometimes I follow reason. The evaluations around me are similar.
14,1,1,30,INFP,14,"<neutrality>  I prefer to improvise because once I have a plan, it's stressful to deviate from it. However, there are many times when we make a rough plan even if it is not detailed."
15,1,1,30,INFP,15,"<neutrality> We worry about who we look, but people tend to brainwash themselves that they don't care about other people more than they think. Because I'm not very interested in other people."
16,1,1,30,INFP,16,"<no>  It's fun to participate in group activities, but it's hard to go out, so I don't participate often. These days, I don't go out of the house often, so I've never participated in group activities."
17,1,1,30,INFP,17,"<no>  don't like open endings where the ending can be interpreted in multiple ways. It feels like something isn't over and it's embarrassing. Because of that, I like closed endings, and I liked the drama's Happiness and the webtoon's confrontation with a man."
18,1,1,30,INFP,18,"<neutrality>  Both seem equally good. I would be very proud to help others succeed, but it is also important for me to succeed."
19,1,1,30,INFP,19,"<Yes>  had several interests, but I wasn't deeply interested, so there were times when I didn't know what to focus on. I recently planned a family trip, but there are so many places I want to go that I'm still thinking about where to go."
20,1,1,30,INFP,20,"<no>  I think about it once in a while, but I don't worry too much. Because if you worry too much, things won't go your way."
21,1,1,30,INFP,21,"<neutrality>  I really want to do it, but I don't want to do it. Taking on the role of a leader is good because it makes you feel recognized, but it comes with a lot of responsibility."
22,1,1,30,INFP,22,"<no>  I like beautiful things, and I like to draw, look at, and sculpt. When I was in elementary and middle school, I loved drawing, sculpting, and making art in my art class."
23,1,1,30,INFP,23,"<neutrality> Emotions cause fights, but emotions help others out of compassion, and reasons cause harm to others to avoid harm, but reason causes people to do good things for their own benefit. Because of this, I think both emotion and rationality are important."
24,1,1,30,INFP,24,"<no>  I take a break first. Since you are already out of energy, you need time to replenish your energy to do housework."
